DBN,School Name,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
17K539,High School for Service & Learning at Erasmus,2017-18,354,0,0,0,0,0,0,0,0,0,0,72,78,97,107,124,35,230,65,9,2.5,276,78,48,13.6,8,2.3,13,3.7,70,19.8,56,15.8,293,82.8,80.5%
17K543,"Science, Technology and Research Early College Hig",2017-18,541,0,0,0,0,0,0,0,70,64,67,88,97,86,69,263,48.6,277,51.2,24,4.4,433,80,64,11.8,13,2.4,7,1.3,75,13.9,5,0.9,410,75.8,60.2%
17K546,High School for Public Service: Heroes of Tomorrow,2017-18,454,0,0,0,0,0,0,0,0,0,0,112,113,114,115,296,65.2,158,34.8,20,4.4,348,76.7,72,15.9,10,2.2,4,0.9,62,13.7,8,1.8,362,79.7,72.5%
17K547,Brooklyn Academy of Science and the Environment,2017-18,373,0,0,0,0,0,0,0,0,0,0,89,107,100,77,147,39.4,226,60.6,19,5.1,302,81,35,9.4,6,1.6,11,2.9,62,16.6,22,5.9,302,81,74.2%
17K548,Brooklyn School for Music & Theatre,2017-18,296,0,0,0,0,0,0,0,0,0,0,96,58,70,72,214,72.3,82,27.7,3,1,240,81.1,46,15.5,3,1,4,1.4,61,20.6,8,2.7,246,83.1,79.0%
17K568,Brownsville Academy High School,2017-18,117,0,0,0,0,0,0,0,0,0,0,0,34,47,36,67,57.3,50,42.7,0,0,97,82.9,15,12.8,5,4.3,0,0,26,22.2,1,0.9,100,85.5,78.6%
17K590,Medgar Evers College Preparatory School,2017-18,1257,0,0,0,0,0,0,0,152,116,88,250,232,211,208,707,56.2,550,43.8,29,2.3,1106,88,60,4.8,51,4.1,11,0.9,92,7.3,3,0.2,844,67.1,53.0%
17K600,Clara Barton High School,2017-18,1221,0,0,0,0,0,0,0,0,0,0,397,322,242,260,888,72.7,333,27.3,16,1.3,1063,87.1,85,7,43,3.5,14,1.1,225,18.4,120,9.8,946,77.5,70.6%
17K705,Brooklyn Arts and Science Elementary School,2017-18,398,36,78,71,60,52,56,45,0,0,0,0,0,0,0,186,46.7,212,53.3,17,4.3,184,46.2,120,30.2,5,1.3,72,18.1,96,24.1,52,13.1,249,62.6,60.3%
17K722,New Heights Middle School,2017-18,234,0,0,0,0,0,0,0,95,69,70,0,0,0,0,113,48.3,121,51.7,1,0.4,196,83.8,25,10.7,3,1.3,9,3.8,72,30.8,14,6,203,86.8,82.3%
17K745,Brooklyn Institute for Liberal Arts,2017-18,381,0,0,0,0,0,0,0,0,0,0,111,100,88,82,194,50.9,187,49.1,5,1.3,334,87.7,33,8.7,8,2.1,1,0.3,59,15.5,16,4.2,344,90.3,69.8%
17K751,Academy for Health Careers,2017-18,359,0,0,0,0,0,0,0,0,0,0,81,98,97,83,243,67.7,116,32.3,11,3.1,281,78.3,52,14.5,11,3.1,4,1.1,56,15.6,16,4.5,301,83.8,80.3%
17K770,P.S. 770 New American Academy,2017-18,289,36,61,51,46,43,35,17,0,0,0,0,0,0,0,141,48.8,148,51.2,4,1.4,169,58.5,26,9,35,12.1,55,19,46,15.9,7,2.4,161,55.7,56.7%
18K066,P.S. 66,2017-18,822,31,64,69,70,76,86,95,122,107,102,0,0,0,0,425,51.7,397,48.3,6,0.7,717,87.2,65,7.9,13,1.6,21,2.6,92,11.2,24,2.9,588,71.5,59.3%
18K068,I.S. 068 Isaac Bildersee,2017-18,339,0,0,0,0,0,0,0,76,120,143,0,0,0,0,159,46.9,180,53.1,9,2.7,282,83.2,24,7.1,3,0.9,21,6.2,96,28.3,73,21.5,279,82.3,74.3%
18K114,P.S. 114 Ryder Elementary,2017-18,522,52,74,69,73,88,76,90,0,0,0,0,0,0,0,266,51,256,49,6,1.1,430,82.4,59,11.3,5,1,22,4.2,123,23.6,71,13.6,401,76.8,80.9%
18K115,P.S. 115 Daniel Mucatel School,2017-18,971,98,128,133,152,150,155,155,0,0,0,0,0,0,0,478,49.2,493,50.8,39,4,791,81.5,80,8.2,14,1.4,47,4.8,167,17.2,77,7.9,599,61.7,64.7%
18K135,P.S. 135 Sheldon A. Brookner,2017-18,574,29,78,64,94,111,90,108,0,0,0,0,0,0,0,292,50.9,282,49.1,7,1.2,463,80.7,49,8.5,9,1.6,46,8,69,12,50,8.7,502,87.5,79.5%
18K208,P.S. 208 Elsa Ebeling,2017-18,380,24,48,67,43,59,63,76,0,0,0,0,0,0,0,192,50.5,188,49.5,7,1.8,347,91.3,18,4.7,2,0.5,6,1.6,98,25.8,14,3.7,318,83.7,70.1%
18K211,I.S. 211 John Wilson,2017-18,522,0,0,0,0,0,0,0,142,195,185,0,0,0,0,250,47.9,272,52.1,7,1.3,453,86.8,45,8.6,7,1.3,10,1.9,135,25.9,32,6.1,438,83.9,69.9%
18K219,P.S. 219 Kennedy-King,2017-18,534,65,77,70,71,83,70,98,0,0,0,0,0,0,0,267,50,267,50,12,2.2,454,85,51,9.6,6,1.1,11,2.1,118,22.1,48,9,418,78.3,82.0%
18K233,P.S. 233 Langston Hughes,2017-18,457,46,63,72,78,52,77,69,0,0,0,0,0,0,0,233,51,224,49,4,0.9,420,91.9,24,5.3,2,0.4,7,1.5,86,18.8,19,4.2,386,84.5,69.4%
18K235,P.S. 235 Janice Marie Knight School,2017-18,1254,32,138,155,150,186,140,145,125,92,91,0,0,0,0,682,54.4,572,45.6,16,1.3,1164,92.8,30,2.4,25,2,19,1.5,103,8.2,17,1.4,897,71.5,55.0%
18K244,P.S. 244 Richard R. Green,2017-18,494,35,46,74,53,85,97,104,0,0,0,0,0,0,0,232,47,262,53,3,0.6,453,91.7,30,6.1,5,1,3,0.6,120,24.3,20,4,401,81.2,70.1%
18K268,P.S. 268 Emma Lazarus,2017-18,383,35,56,66,60,49,56,61,0,0,0,0,0,0,0,200,52.2,183,47.8,1,0.3,348,90.9,23,6,2,0.5,9,2.3,58,15.1,28,7.3,330,86.2,79.5%
18K272,P.S. 272 Curtis Estabrook,2017-18,473,43,55,76,70,75,72,82,0,0,0,0,0,0,0,224,47.4,249,52.6,17,3.6,362,76.5,65,13.7,11,2.3,18,3.8,137,29,22,4.7,440,93,87.7%
18K276,P.S. 276 Louis Marshall,2017-18,616,58,93,86,95,87,105,92,0,0,0,0,0,0,0,280,45.5,336,54.5,19,3.1,537,87.2,27,4.4,6,1,27,4.4,106,17.2,87,14.1,480,77.9,69.1%
