Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Ukraine,UKR,1.67592702664619,4.59600703553104,7.69639725156479,13.657727308332,29.0897362980988,64.0053648197035,105.276792245749,119.08760668951,120.558086000585,119.456421121144,117.767819669863,121.941606633464,130.859020572585,138.441124320457,144.278847394403,143.983655408638
United Arab Emirates,ARE,45.2662107657076,57.4048295386214,69.2304073411739,79.4330575756053,90.0973377486068,99.0082239305855,105.289189383048,127.918965822186,135.731906952403,139.203377651002,132.105385721423,135.225538269064,154.770234728502,178.359736996355,185.418042178328,196.001399123603
United Kingdom,GBR,73.7088633568087,78.2476992178933,82.9467033731834,91.0641470923019,99.6723455670925,108.600414943555,115.254437044767,120.225708324364,120.724064372411,121.935386072202,121.203053831005,120.921520540642,121.912766829369,121.708890828143,120.679621837721,121.183993230279
United States,USA,38.8243678484507,45.1110835155321,49.3205645290249,55.3867930869923,63.1774892595294,69.0205483727633,77.0916423137437,82.9354629527902,86.1312908462937,89.6126045826433,92.3784068871048,95.6125019258475,97.2880745755963,98.4665250134029,111.891403183316,119.497390487961
Uruguay,URY,12.3684642355502,15.6289420555961,15.4315814209683,14.9604421649146,18.0430408748724,34.7281342501771,69.948391539827,89.9567661085096,104.685175944783,122.267604984603,131.494140465829,140.518409604847,147.06467336537,154.575682840841,160.755082692264,150.528798631057
Uzbekistan,UZB,0.21380406069962,0.508215506210427,0.732599985982999,1.2419930904589,2.07986704752838,2.7157325100037,9.40996746666256,20.8536560119814,44.6505705675368,58.3119714628568,73.2426227598724,87.5244012155679,68.6307647733125,71.6195553231751,70.9490853295277,70.3231057339482
Vanuatu,VUT,0.197230132441385,0.184901473928892,2.5263461816082,3.92030719125068,5.14541277437874,6.06199551034055,6.98864112861895,11.8207071510732,15.9758587024053,57.0583010160972,71.9164603567574,56.6235720694089,59.027415802978,50.2658586880091,60.2862661773228,66.0680339981028
"Venezuela, RB",VEN,22.2439414023164,25.9438051446509,25.7466694478663,27.1183669821427,31.9858245599375,46.6533971327308,68.9795885101924,86.0182114198108,97.4154938253377,98.3777669563533,96.0455432856921,97.6876581777643,102.261369520973,101.907229695195,99.315656798807,93.3827374968119
Vietnam,VNM,0.982192788287388,1.54202150485262,2.3212168563185,3.3136887903854,5.93815142329229,11.3786403165324,22.2017333951923,52.4208440161375,86.3501428204828,112.172127516064,126.107192480304,142.355570721102,145.573229151531,135.233479302354,147.115726455635,128.590399688401
Virgin Islands (U.S.),VIR,32.1921966115414,37.7219615420002,41.5910535479057,45.4998523331364,59.3971467165035,74.4946332322136,,,,,,,,,,
West Bank and Gaza,PSE,0.219546392827324,5.31744616547034,7.44594115089778,7.67528123555023,12.4606989473011,15.8712812869634,22.4574604924409,27.2259457027516,34.1199436182446,45.4776977370298,64.0199526461526,69.0368580060423,72.9855458490882,72.2647851106454,70.4705862906825,75.725666776184
"Yemen, Rep.",YEM,0.179258701882127,0.803892956740122,2.57234735185919,3.46911425630326,7.37370727820878,11.0652824061418,14.0723339023486,19.9939268849356,28.8284455214618,36.1829192159854,46.9568508266206,48.1110872965536,55.8009526226227,65.8605252154708,65.151973455181,55.8100664034869
